Prime Minister,Political Party,Tenure,Age,Lifespan,State,Educational Qualification,No. of Marriages,No. of Children,GDP at Beginning of Tenure (in Rs. crores),GDP at End of Tenure (in Rs. crores),Population at Beginning of Tenure (in millions),Population at End of Tenure (in millions),Literacy Rate at Beginning of Tenure,Literacy Rate at End of Tenure,Wars Fought During Tenure,World GDP During Tenure (in US $ billions),Length of Roads During Tenure (in kms),Electricity Coverage During Tenure,Lok Sabha Seat,Infant Mortality Rate,Maternal Mortality Rate,Poverty (%) at Beginning of Tenure,Poverty (%) at End of Tenure,Average Inflation Rate (%) During Tenure,Forex Reserves at Beginning of Tenure (in US $ billions),Forex Reserves at End of Tenure (in US $ billions),FDI Inflow at Beginning of Tenure (in US $ billions),FDI Inflow at End of Tenure (in US $ billions),GDP per Capita at Beginning of Tenure (in US $),GDP per Capita at End of Tenure (in US $),Population Growth at Beginning of Tenure (in % per annum),Population Growth at End of Tenure (in % per annum),Forest Cover at Beginning of Tenure (in % of total land area),Forest Cover at End of Tenure (in % of total land area),"Crime rate during tenure (per 100,000 people)",Number of Riots during tenure,Number of Universities in India during tenure,Value of Imports during tenure (in crores),Value of Exports during tenure (in crores)
Atal Bihari Vajpayee,Bharatiya Janata Party,1996,71,1924-2018,Uttar Pradesh,"DAV College, Kanpur",1,1,"1,758,647","2,005,950",955,"1,106",65%,74%,None,"31,668","6,174,000",72%,"Lucknow, UP",57.7,407,29.8,26.1,4.94,17.441,26.704,4.04,19.3,1432.94,3562.61,1.93,1.7,23.43,23.04,1924.8,27,359,"1,29,89,332","1,27,41,201"
H.D. Deve Gowda,Janata Dal,1996-1997,64-65,Born 1933,Karnataka,University of Mysore,1,4,"2,005,950","2,185,334","1,106","1,136",74%,75%,None,"32,306",N/A,73%,"Hassan, Karnataka",72,540,36,37.2,7.27,6.092,11.752,Not available,Not available,372.55,404.47,2.03,1.8,22.95,22.62,Not available,Not available,401,Not available,Not available
I.K. Gujral,Janata Dal,1997-1998,78-79,1919-2012,Punjab,Forman Christian College,2,2,"2,185,334","2,368,995","1,136","1,158",75%,80%,None,"33,596",N/A,N/A,"Jalandhar, Punjab",70.3,540,36,35,7.91,15.82,21.173,3.4,3.58,390.74,429.36,1.96,1.6,22.93,22.9,Not available,Not available,432,Not available,Not available
Atal Bihari Vajpayee,Bharatiya Janata Party,1998-2004,74-80,1924-2018,Uttar Pradesh,"DAV College, Kanpur",1,1,"2,368,995","4,283,850","1,158","1,292",80%,65%,Kargil War,"230,934","7,347,547",82%,"Lucknow, UP",57.7 (1999),407 (1999),29.8 (1996),26.1 (2004),4.94%,17.441,26.704,4.04,19.3,1432.94,3562.61,1.93,1.7,23.43,23.04,1924.8,27,359,"1,29,89,332","1,27,41,201"
Manmohan Singh,Indian National Congress,2004-2014,71-81,Born 1932,Punjab,University of Cambridge,1,3,"4,283,850","10,411,460","1,292","1,267",65%,74%,"Kargil War, Mumbai Terror Attacks","543,606","7,857,435",80%,Assam,47.7 (2004),284 (2011),26.1 (2004),21.9 (2014),7.70%,107,292.4,7.6,42.3,1011.47,1499.99,1.67,1.25,22.65,22.62,419.7,25,677,"13,06,000","14,08,000"
Narendra Modi,Bharatiya Janata Party,2014-2021,63-70,Born 1950,Gujarat,University of Delhi,1,0,"10,411,460","20,340,514","1,267","1,391",74%,78%,"Uri , Balakot","78,841 (2019)","10,486,763",95%,"Varanasi, UP",37.9 (2014),174 (2015),21.9 (2014),11.0 (2021),4.93%,304.2,487.2,36.05,60.1,1578.7,2103.2,1.22,1.08,Not available,Not available,345.5,60,993,"20,58,000","23,01,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
