USER_INPUT | CORRECTED_QUERY | SQL_QUERY | QUERY_TYPE | ACTION_TYPE | DISPLAY_ENTITIES | FILTER_ENTITIES
customer detials for 567890 | customer details for 567890 | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 567890
who is custommer for 678901? | who is customer for 678901? | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 678901
get customer info for contarct 789012 | get customer info for contract 789012 | SELECT      CUSTOMER_NAME, CONTRACT_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME, CONTRACT_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 789012
customer number for 890123 | customer number for 890123 | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 890123
show custmer number for 123456 | show customer number for 123456 | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 123456
what custommer number for 234567? | what customer number for 234567? | SELECT      CUSTOMER_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CUSTOMER_NAME | AWARD_NUMBER = 234567
payment terms for contarct 123456 | payment terms for contract 123456 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
what are paymet terms for 234567? | what are payment terms for 234567? | SELECT      PAYMENT_TERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | PAYMENT_TERMS | AWARD_NUMBER = 234567
show payment term for 345678 | show payment term for 345678 | SELECT      PAYMENT_TERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | PAYMENT_TERMS | AWARD_NUMBER = 345678
payement terms for 456789 | payment terms for 456789 | SELECT      PAYMENT_TERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | PAYMENT_TERMS | AWARD_NUMBER = 456789
what payment for contrat 567890? | what payment for contract 567890? | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 567890
incoterms for contarct 678901 | incoterms for contract 678901 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 678901
what incoterm for 789012? | what incoterms for 789012? | SELECT      INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | INCOTERMS | AWARD_NUMBER = 789012
show incotems for 890123 | show incoterms for 890123 | SELECT      INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | INCOTERMS | AWARD_NUMBER = 890123
contract lenght for 123456 | contract length for 123456 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
what contract length for 234567? | what contract length for 234567? | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 234567
price experation date for 123456 | price expiration date for 123456 | SELECT      EXPIRATION_DATE, PRICE    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 123456 | CONTRACTS | parts_by_filter | EXPIRATION_DATE, PRICE | AWARD_NUMBER = 123456
when price expire for 234567? | when price expire for 234567? | SELECT      EXPIRATION_DATE, PRICE    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 234567 AND STATUS = 'EXPIRED' | CONTRACTS | parts_by_filter | EXPIRATION_DATE, PRICE | AWARD_NUMBER = 234567, STATUS = EXPIRED
price expiry for contarct 345678 | price expiry for contract 345678 | SELECT      EXPIRATION_DATE, PRICE    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 345678 | CONTRACTS | parts_by_filter | EXPIRATION_DATE, PRICE | AWARD_NUMBER = 345678
show price experation for 456789 | show price expiration for 456789 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 456789 | CONTRACTS | parts_by_filter | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 456789
what price expire date for 567890? | what price expire date for 567890? | SELECT      EXPIRATION_DATE, PRICE    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 567890 AND STATUS = 'EXPIRED' | CONTRACTS | parts_by_filter | EXPIRATION_DATE, PRICE | AWARD_NUMBER = 567890, STATUS = EXPIRED
creation date for contarct 678901 | creation date for contract 678901 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 678901
when was 789012 created? | when was 789012 created? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 789012
create date for 890123 | create date for 890123 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 890123
show creation for contarct 123456 | show creation for contract 123456 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
when created 234567? | when created 234567? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
what type of contarct 123456? | what type of contract 123456? | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
contract typ for 234567 | contract type for 234567 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 234567
show contarct type for 345678 | show contract type for 345678 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 345678
what kind contract 456789? | what kind contract 456789? | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 456789
type of contrat 567890 | type of contract 567890 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 567890
status of contarct 678901 | status of contract 678901 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 678901
what status for 789012? | what status for 789012? | SELECT      STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | STATUS | AWARD_NUMBER = 789012
show contarct status for 890123 | show contract status for 890123 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 890123
is 123456 active? | is 123456 active? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 AND STATUS = 'ACTIVE' | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 123456, STATUS = ACTIVE
contract staus for 234567 | contract status for 234567 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 234567
show all details for 123456 | show all details for 123456 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 123456
get everything for contarct 234567 | get everything for contract 234567 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 234567
full info for 345678 | full info for 345678 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 345678
complete details contrat 456789 | complete details contract 456789 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 456789
show summary for 567890 | show summary for 567890 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 567890
overview of contarct 678901 | overview of contract 678901 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 678901
brief for 789012 | brief for 789012 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 789012
quick info 890123 | quick info 890123 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 890123
details about 123456 | details about 123456 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 123456
information on contarct 234567 | information on contract 234567 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 234567
What is the lead time for part AE12345? | What is the lead time for part AE12345? | SELECT      LEAD_TIME    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'AE12345' | CONTRACTS | parts_by_part_number | LEAD_TIME | INVOICE_PART_NUMBER = AE12345
Show me part detials for BC67890 | show me part details for bc67890 | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'BC67890' | CONTRACTS | parts_by_part_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ | INVOICE_PART_NUMBER = BC67890
What lead tim for part DE23456? | what lead time for part de23456? | SELECT      LEAD_TIME    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'DE23456' | CONTRACTS | parts_by_part_number | LEAD_TIME | INVOICE_PART_NUMBER = DE23456
Show leadtime for FG78901 | show lead time for fg78901 | SELECT      LEAD_TIME    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'FG78901' | CONTRACTS | parts_by_part_number | LEAD_TIME | INVOICE_PART_NUMBER = FG78901
What's the leed time for part HI34567? | what's the lead time for part hi34567? | SELECT      LEAD_TIME    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'HI34567' | CONTRACTS | parts_by_part_number | LEAD_TIME | INVOICE_PART_NUMBER = HI34567
Get part informaton for JK89012 | get part information for jk89012 | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'JK89012' | CONTRACTS | parts_by_part_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ | INVOICE_PART_NUMBER = JK89012
Show part info for LM45678 | Show part info for LM45678 | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'LM45678' | CONTRACTS | parts_by_part_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ | INVOICE_PART_NUMBER = LM45678
What part details for NO90123? | What part details for NO90123? | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'NO90123' | CONTRACTS | parts_by_part_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ | INVOICE_PART_NUMBER = NO90123
Get part data for PQ56789 | Get part data for PQ56789 | SELECT      PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'PQ56789' | CONTRACTS | parts_by_part_number | PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = PQ56789
Show part summary for RS12345 | Show part summary for RS12345 | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ, UOM, ITEM_CLASSIFICATION, STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'RS12345' | CONTRACTS | parts_by_part_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ, UOM, ITEM_CLASSIFICATION, STATUS | INVOICE_PART_NUMBER = RS12345
What's the price for part AE12345? | What's the price for part AE12345? | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'AE12345' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = AE12345
Show pric for part BC67890 | show price for part bc67890 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'BC67890' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = BC67890
What cost for part DE23456? | What cost for part DE23456? | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'DE23456' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = DE23456
Get price info for FG78901 | Get price info for FG78901 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'FG78901' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = FG78901
Show pricing for part HI34567 | Show pricing for part HI34567 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'HI34567' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = HI34567
What's the prise for JK89012 | what's the price for jk89012 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'JK89012' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = JK89012
Cost of part LM45678 | Cost of part LM45678 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'LM45678' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = LM45678
Price details for NO90123 | Price details for NO90123 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'NO90123' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = NO90123
Show part price for PQ56789 | Show part price for PQ56789 | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'PQ56789' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = PQ56789
What pricing for RS12345? | What pricing for RS12345? | SELECT      PRICE    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'RS12345' | CONTRACTS | parts_by_part_number | PRICE | INVOICE_PART_NUMBER = RS12345
What's the MOQ for part AE12345? | What's the MOQ for part AE12345? | SELECT      MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'AE12345' | CONTRACTS | parts_by_part_number | MOQ | INVOICE_PART_NUMBER = AE12345
